Step mapping:
  003029: 0.2 → 0.05
  300540: 0.2 → 0.05
  600975: 0.05 → 0.02
  000025: 0.1 → 0.02
  603551: 0.1 → 0.02
  601949: 0.05 → 0.02
  002462: 0.1 → 0.02
  300388: 0.05 → 0.02
  002609: 0.05 → 0.02
  进度: 500/87571 (0.6%), 步长=0.05, 当前最优: B=15.65 S=19.75 ret=25.94% score=11.93
  进度: 1000/87571 (1.1%), 步长=0.05, 当前最优: B=15.65 S=36.45 ret=132.43% score=60.92
  进度: 1500/87571 (1.7%), 步长=0.05, 当前最优: B=15.65 S=36.45 ret=132.43% score=60.92
  进度: 2000/87571 (2.3%), 步长=0.05, 当前最优: B=15.65 S=36.45 ret=132.43% score=60.92
  进度: 2500/87571 (2.9%), 步长=0.05, 当前最优: B=15.65 S=36.45 ret=132.43% score=60.92
  进度: 3000/87571 (3.4%), 步长=0.05, 当前最优: B=15.65 S=36.45 ret=132.43% score=60.92
  进度: 3500/87571 (4.0%), 步长=0.05, 当前最优: B=15.65 S=36.45 ret=132.43% score=60.92
  进度: 4000/87571 (4.6%), 步长=0.05, 当前最优: B=15.65 S=36.45 ret=132.43% score=60.92
  进度: 4500/87571 (5.1%), 步长=0.05, 当前最优: B=15.65 S=36.45 ret=132.43% score=60.92
  进度: 5000/87571 (5.7%), 步长=0.05, 当前最优: B=15.65 S=36.45 ret=132.43% score=60.92
  进度: 5500/87571 (6.3%), 步长=0.05, 当前最优: B=15.65 S=36.45 ret=132.43% score=60.92
  进度: 6000/87571 (6.9%), 步长=0.05, 当前最优: B=15.65 S=36.45 ret=132.43% score=60.92
  进度: 6500/87571 (7.4%), 步长=0.05, 当前最优: B=15.65 S=36.45 ret=132.43% score=60.92
  进度: 7000/87571 (8.0%), 步长=0.05, 当前最优: B=15.65 S=36.45 ret=132.43% score=60.92
  进度: 7500/87571 (8.6%), 步长=0.05, 当前最优: B=15.65 S=36.45 ret=132.43% score=60.92
  进度: 8000/87571 (9.1%), 步长=0.05, 当前最优: B=15.65 S=36.45 ret=132.43% score=60.92
  进度: 8500/87571 (9.7%), 步长=0.05, 当前最优: B=15.65 S=36.45 ret=132.43% score=60.92
  进度: 9000/87571 (10.3%), 步长=0.05, 当前最优: B=15.65 S=36.45 ret=132.43% score=60.92
  进度: 9500/87571 (10.8%), 步长=0.05, 当前最优: B=15.65 S=36.45 ret=132.43% score=60.92
  进度: 10000/87571 (11.4%), 步长=0.05, 当前最优: B=15.65 S=36.45 ret=132.43% score=60.92
